T10,Public Expenditure on Education (2021),,,
Region/Country/Area,,Year,Series,Value
208,Denmark,2014,All staff compensation as % of total expenditure in public institutions (%),73.7
208,Denmark,2014,Capital expenditure as % of total expenditure in public institutions (%),6.4
208,Denmark,2014,Basic access to computers by level of education: Primary,100
208,Denmark,2014,Basic access to computers by level of education: Lower secondary,100
208,Denmark,2014,Public expenditure on education (% of GDP),7.6
208,Denmark,2015,Basic access to computers by level of education: Primary,100
208,Denmark,2015,Basic access to computers by level of education: Lower secondary,100
208,Denmark,2015,Basic access to computers by level of education: Upper secondary,100
208,Denmark,2016,Basic access to computers by level of education: Primary,100
208,Denmark,2016,Basic access to computers by level of education: Lower secondary,100
208,Denmark,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.9
208,Denmark,2017,All staff compensation as % of total expenditure in public institutions (%),74.5
208,Denmark,2017,Capital expenditure as % of total expenditure in public institutions (%),5.6
208,Denmark,2017,Public expenditure on education (% of GDP),7.8
262,Djibouti,2005,All staff compensation as % of total expenditure in public institutions (%),42.2
262,Djibouti,2005,Capital expenditure as % of total expenditure in public institutions (%),2.7
262,Djibouti,2005,Public expenditure on education (% of GDP),8.4
262,Djibouti,2007,All staff compensation as % of total expenditure in public institutions (%),38.8
262,Djibouti,2007,Capital expenditure as % of total expenditure in public institutions (%),4.6
262,Djibouti,2007,Public expenditure on education (% of GDP),8.4
262,Djibouti,2010,Public expenditure on education (% of GDP),4.5
262,Djibouti,2015,Public expenditure on education (% of GDP),3.6
262,Djibouti,2018,Public expenditure on education (% of GDP),3.6
212,Dominica,2010,Basic access to computers by level of education: Primary,71
212,Dominica,2010,Basic access to computers by level of education: Lower secondary,93
212,Dominica,2012,All staff compensation as % of total expenditure in public institutions (%),100
212,Dominica,2015,Public expenditure on education (% of GDP),3.4
212,Dominica,2020,Basic access to computers by level of education: Primary,100
212,Dominica,2020,Basic access to computers by level of education: Lower secondary,100
212,Dominica,2020,Basic access to computers by level of education: Upper secondary,100
212,Dominica,2020,Public expenditure on education (% of GDP),5
214,Dominican Republic,2003,Public expenditure on education (% of GDP),1.8
214,Dominican Republic,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.5
214,Dominican Republic,2007,All staff compensation as % of total expenditure in public institutions (%),66.9
214,Dominican Republic,2007,Capital expenditure as % of total expenditure in public institutions (%),17.6
214,Dominican Republic,2007,Public expenditure on education (% of GDP),2
214,Dominican Republic,2010,Public expenditure on education (% of GDP),1.9
214,Dominican Republic,2015,Public expenditure on education (% of GDP),3.8
214,Dominican Republic,2019,Public expenditure on education (% of GDP),4
218,Ecuador,2000,Public expenditure on education (% of GDP),1.2
218,Ecuador,2009,Basic access to computers by level of education: Primary,52
218,Ecuador,2009,Basic access to computers by level of education: Lower secondary,87
218,Ecuador,2009,Basic access to computers by level of education: Upper secondary,94
218,Ecuador,2009,Public expenditure on education (% of GDP),4.3
218,Ecuador,2010,Public expenditure on education (% of GDP),4.5
218,Ecuador,2015,Public expenditure on education (% of GDP),5
218,Ecuador,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.7
218,Ecuador,2020,All staff compensation as % of total expenditure in public institutions (%),87.9
218,Ecuador,2020,Capital expenditure as % of total expenditure in public institutions (%),2.4
218,Ecuador,2020,Basic access to computers by level of education: Primary,72.8
218,Ecuador,2020,Basic access to computers by level of education: Lower secondary,87
218,Ecuador,2020,Basic access to computers by level of education: Upper secondary,90
218,Ecuador,2020,Public expenditure on education (% of GDP),4.1
818,Egypt,2005,Public expenditure on education (% of GDP),4.8
818,Egypt,2010,Basic access to computers by level of education: Primary,86.3
818,Egypt,2010,Basic access to computers by level of education: Lower secondary,98
818,Egypt,2010,Basic access to computers by level of education: Upper secondary,91
818,Egypt,2010,Public expenditure on education (% of GDP),3.5
818,Egypt,2015,Public expenditure on education (% of GDP),3.9
818,Egypt,2017,Basic access to computers by level of education: Primary,78.3
818,Egypt,2017,Basic access to computers by level of education: Lower secondary,95
818,Egypt,2017,Basic access to computers by level of education: Upper secondary,91
818,Egypt,2019,Basic access to computers by level of education: Primary,94.7
222,El Salvador,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.3
222,El Salvador,2005,All staff compensation as % of total expenditure in public institutions (%),66.9
222,El Salvador,2005,Capital expenditure as % of total expenditure in public institutions (%),5.8
222,El Salvador,2005,Public expenditure on education (% of GDP),3.2
222,El Salvador,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),37.8
222,El Salvador,2008,All staff compensation as % of total expenditure in public institutions (%),51.7
222,El Salvador,2008,Capital expenditure as % of total expenditure in public institutions (%),10.5
222,El Salvador,2008,Public expenditure on education (% of GDP),4.5
222,El Salvador,2010,Basic access to computers by level of education: Primary,59
222,El Salvador,2010,Basic access to computers by level of education: Lower secondary,81
222,El Salvador,2010,Basic access to computers by level of education: Upper secondary,97
222,El Salvador,2010,Public expenditure on education (% of GDP),4
222,El Salvador,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19
222,El Salvador,2015,All staff compensation as % of total expenditure in public institutions (%),67.1
222,El Salvador,2015,Capital expenditure as % of total expenditure in public institutions (%),6.2
222,El Salvador,2015,Public expenditure on education (% of GDP),3.9
222,El Salvador,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25
222,El Salvador,2016,All staff compensation as % of total expenditure in public institutions (%),68
222,El Salvador,2016,Capital expenditure as % of total expenditure in public institutions (%),7
222,El Salvador,2016,Basic access to computers by level of education: Primary,48.3
222,El Salvador,2016,Basic access to computers by level of education: Lower secondary,68
222,El Salvador,2016,Public expenditure on education (% of GDP),3.8
222,El Salvador,2018,Capital expenditure as % of total expenditure in public institutions (%),6.7
222,El Salvador,2018,Basic access to computers by level of education: Primary,61
222,El Salvador,2018,Basic access to computers by level of education: Lower secondary,79
222,El Salvador,2018,Basic access to computers by level of education: Upper secondary,96
222,El Salvador,2018,Public expenditure on education (% of GDP),3.6
222,El Salvador,2019,All staff compensation as % of total expenditure in public institutions (%),94.1
222,El Salvador,2019,Capital expenditure as % of total expenditure in public institutions (%),5.9
222,El Salvador,2019,Public expenditure on education (% of GDP),3.4
232,Eritrea,2004,Public expenditure on education (% of GDP),3.1
232,Eritrea,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.7
232,Eritrea,2006,All staff compensation as % of total expenditure in public institutions (%),57.7
232,Eritrea,2006,Capital expenditure as % of total expenditure in public institutions (%),19.6
232,Eritrea,2006,Public expenditure on education (% of GDP),2.1
233,Estonia,2005,Basic access to computers by level of education: Primary,100
233,Estonia,2005,Basic access to computers by level of education: Lower secondary,100
233,Estonia,2005,Basic access to computers by level of education: Upper secondary,100
233,Estonia,2005,Public expenditure on education (% of GDP),4.8
233,Estonia,2010,Basic access to computers by level of education: Primary,100
233,Estonia,2010,Basic access to computers by level of education: Lower secondary,100
233,Estonia,2010,Basic access to computers by level of education: Upper secondary,100
233,Estonia,2010,Public expenditure on education (% of GDP),5.5
233,Estonia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.9
233,Estonia,2015,All staff compensation as % of total expenditure in public institutions (%),64.8
233,Estonia,2015,Capital expenditure as % of total expenditure in public institutions (%),8.4
233,Estonia,2015,Basic access to computers by level of education: Primary,100
233,Estonia,2015,Basic access to computers by level of education: Lower secondary,100
233,Estonia,2015,Basic access to computers by level of education: Upper secondary,100
233,Estonia,2015,Public expenditure on education (% of GDP),5.1
233,Estonia,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.5
233,Estonia,2016,All staff compensation as % of total expenditure in public institutions (%),66.4
233,Estonia,2016,Capital expenditure as % of total expenditure in public institutions (%),7.1
233,Estonia,2016,Basic access to computers by level of education: Primary,100
233,Estonia,2016,Basic access to computers by level of education: Lower secondary,100
233,Estonia,2016,Basic access to computers by level of education: Upper secondary,100
233,Estonia,2016,Public expenditure on education (% of GDP),5.1
233,Estonia,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.3
233,Estonia,2018,All staff compensation as % of total expenditure in public institutions (%),62.6
233,Estonia,2018,Capital expenditure as % of total expenditure in public institutions (%),12.1
233,Estonia,2018,Public expenditure on education (% of GDP),5.2
748,Eswatini,2005,Public expenditure on education (% of GDP),6.5
748,Eswatini,2010,Public expenditure on education (% of GDP),6.1
748,Eswatini,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),36.2
748,Eswatini,2014,All staff compensation as % of total expenditure in public institutions (%),59.3
748,Eswatini,2014,Capital expenditure as % of total expenditure in public institutions (%),4.5
748,Eswatini,2014,Public expenditure on education (% of GDP),7.1
748,Eswatini,2015,Public expenditure on education (% of GDP),5.4
748,Eswatini,2019,Basic access to computers by level of education: Primary,69.7
748,Eswatini,2019,Basic access to computers by level of education: Lower secondary,59
748,Eswatini,2019,Basic access to computers by level of education: Upper secondary,59
748,Eswatini,2019,Public expenditure on education (% of GDP),5.6
748,Eswatini,2020,Public expenditure on education (% of GDP),5.3
231,Ethiopia,2002,Public expenditure on education (% of GDP),3.6
231,Ethiopia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21
231,Ethiopia,2010,All staff compensation as % of total expenditure in public institutions (%),44.8
231,Ethiopia,2010,Capital expenditure as % of total expenditure in public institutions (%),34.1
231,Ethiopia,2010,Public expenditure on education (% of GDP),4.5
231,Ethiopia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.4
231,Ethiopia,2015,All staff compensation as % of total expenditure in public institutions (%),45.2
231,Ethiopia,2015,Capital expenditure as % of total expenditure in public institutions (%),35.4
231,Ethiopia,2015,Public expenditure on education (% of GDP),4.7
231,Ethiopia,2018,Public expenditure on education (% of GDP),5.1
231,Ethiopia,2020,Basic access to computers by level of education: Lower secondary,76
231,Ethiopia,2020,Basic access to computers by level of education: Upper secondary,76
234,Faroe Islands,2015,Public expenditure on education (% of GDP),7.7
234,Faroe Islands,2017,Public expenditure on education (% of GDP),8.2
242,Fiji,2005,Public expenditure on education (% of GDP),5.2
242,Fiji,2010,Public expenditure on education (% of GDP),4.8
242,Fiji,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),1.2
242,Fiji,2013,All staff compensation as % of total expenditure in public institutions (%),98.7
242,Fiji,2013,Capital expenditure as % of total expenditure in public institutions (%),0.1
242,Fiji,2013,Public expenditure on education (% of GDP),3.9
242,Fiji,2015,Public expenditure on education (% of GDP),4.8
242,Fiji,2019,Public expenditure on education (% of GDP),5.1
246,Finland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.1
246,Finland,2005,All staff compensation as % of total expenditure in public institutions (%),60.9
246,Finland,2005,Capital expenditure as % of total expenditure in public institutions (%),7
246,Finland,2005,Basic access to computers by level of education: Primary,100
246,Finland,2005,Basic access to computers by level of education: Lower secondary,100
246,Finland,2005,Basic access to computers by level of education: Upper secondary,100
246,Finland,2005,Public expenditure on education (% of GDP),6
246,Finland,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),33.6
246,Finland,2010,All staff compensation as % of total expenditure in public institutions (%),60.3
246,Finland,2010,Capital expenditure as % of total expenditure in public institutions (%),6.1
246,Finland,2010,Basic access to computers by level of education: Primary,100
246,Finland,2010,Basic access to computers by level of education: Lower secondary,100
246,Finland,2010,Basic access to computers by level of education: Upper secondary,100
246,Finland,2010,Public expenditure on education (% of GDP),6.5
246,Finland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.7
246,Finland,2015,All staff compensation as % of total expenditure in public institutions (%),56.5
246,Finland,2015,Capital expenditure as % of total expenditure in public institutions (%),8.8
246,Finland,2015,Basic access to computers by level of education: Primary,100
246,Finland,2015,Basic access to computers by level of education: Lower secondary,100
246,Finland,2015,Basic access to computers by level of education: Upper secondary,100
246,Finland,2015,Public expenditure on education (% of GDP),7
246,Finland,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),36.9
246,Finland,2018,All staff compensation as % of total expenditure in public institutions (%),54.5
246,Finland,2018,Capital expenditure as % of total expenditure in public institutions (%),8.5
246,Finland,2018,Basic access to computers by level of education: Primary,100
246,Finland,2018,Basic access to computers by level of education: Lower secondary,100
246,Finland,2018,Basic access to computers by level of education: Upper secondary,100
246,Finland,2018,Public expenditure on education (% of GDP),6.3
246,Finland,2019,Basic access to computers by level of education: Primary,100
246,Finland,2019,Basic access to computers by level of education: Lower secondary,100
246,Finland,2019,Basic access to computers by level of education: Upper secondary,100
250,France,2005,Basic access to computers by level of education: Primary,96
250,France,2005,Basic access to computers by level of education: Lower secondary,100
250,France,2005,Basic access to computers by level of education: Upper secondary,100
250,France,2015,Basic access to computers by level of education: Primary,99
250,France,2015,Basic access to computers by level of education: Lower secondary,100
250,France,2015,Basic access to computers by level of education: Upper secondary,100
250,France,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.6
250,France,2018,All staff compensation as % of total expenditure in public institutions (%),75.6
250,France,2018,Capital expenditure as % of total expenditure in public institutions (%),7.8
250,France,2018,Basic access to computers by level of education: Primary,99
250,France,2018,Basic access to computers by level of education: Lower secondary,100
250,France,2018,Basic access to computers by level of education: Upper secondary,100
250,France,2018,Public expenditure on education (% of GDP),5.4
250,France,2019,Basic access to computers by level of education: Primary,99
250,France,2019,Basic access to computers by level of education: Lower secondary,100
250,France,2019,Basic access to computers by level of education: Upper secondary,100
266,Gabon,2000,Public expenditure on education (% of GDP),3.8
266,Gabon,2010,Public expenditure on education (% of GDP),3.1
266,Gabon,2014,All staff compensation as % of total expenditure in public institutions (%),45.5
266,Gabon,2014,Public expenditure on education (% of GDP),2.7
266,Gabon,2015,Public expenditure on education (% of GDP),2.9
266,Gabon,2019,Public expenditure on education (% of GDP),2.8
270,Gambia,2005,Public expenditure on education (% of GDP),0.7
270,Gambia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.8
270,Gambia,2010,All staff compensation as % of total expenditure in public institutions (%),46.4
270,Gambia,2010,Capital expenditure as % of total expenditure in public institutions (%),42.8
270,Gambia,2010,Public expenditure on education (% of GDP),2.6
270,Gambia,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.4
270,Gambia,2012,All staff compensation as % of total expenditure in public institutions (%),50.4
270,Gambia,2012,Capital expenditure as % of total expenditure in public institutions (%),42.2
270,Gambia,2012,Public expenditure on education (% of GDP),2.6
270,Gambia,2015,Public expenditure on education (% of GDP),2.2
270,Gambia,2019,Basic access to computers by level of education: Primary,21.2
270,Gambia,2019,Basic access to computers by level of education: Lower secondary,39
270,Gambia,2019,Basic access to computers by level of education: Upper secondary,60
270,Gambia,2019,Public expenditure on education (% of GDP),2.9
270,Gambia,2020,Basic access to computers by level of education: Primary,21.9
270,Gambia,2020,Basic access to computers by level of education: Lower secondary,39
270,Gambia,2020,Basic access to computers by level of education: Upper secondary,59
268,Georgia,2005,Public expenditure on education (% of GDP),2.5
268,Georgia,2010,Public expenditure on education (% of GDP),2.8
268,Georgia,2015,Public expenditure on education (% of GDP),3.2
268,Georgia,2020,Basic access to computers by level of education: Primary,100
268,Georgia,2020,Basic access to computers by level of education: Lower secondary,100
268,Georgia,2020,Basic access to computers by level of education: Upper secondary,100
268,Georgia,2020,Public expenditure on education (% of GDP),3.8
276,Germany,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.8
276,Germany,2010,All staff compensation as % of total expenditure in public institutions (%),70.6
276,Germany,2010,Capital expenditure as % of total expenditure in public institutions (%),9.6
276,Germany,2010,Public expenditure on education (% of GDP),4.9
276,Germany,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1
276,Germany,2015,All staff compensation as % of total expenditure in public institutions (%),73.1
276,Germany,2015,Capital expenditure as % of total expenditure in public institutions (%),6.8
276,Germany,2015,Public expenditure on education (% of GDP),4.9
276,Germany,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20
276,Germany,2018,All staff compensation as % of total expenditure in public institutions (%),72.5
276,Germany,2018,Capital expenditure as % of total expenditure in public institutions (%),7.5
276,Germany,2018,Public expenditure on education (% of GDP),5
288,Ghana,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.3
288,Ghana,2005,All staff compensation as % of total expenditure in public institutions (%),63
288,Ghana,2005,Capital expenditure as % of total expenditure in public institutions (%),14.7
288,Ghana,2005,Public expenditure on education (% of GDP),7.4
288,Ghana,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.3
288,Ghana,2010,All staff compensation as % of total expenditure in public institutions (%),68.8
288,Ghana,2010,Capital expenditure as % of total expenditure in public institutions (%),16.9
288,Ghana,2010,Public expenditure on education (% of GDP),5.5
288,Ghana,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.2
288,Ghana,2014,All staff compensation as % of total expenditure in public institutions (%),73.3
288,Ghana,2014,Capital expenditure as % of total expenditure in public institutions (%),8.6
288,Ghana,2014,Public expenditure on education (% of GDP),4.7
288,Ghana,2015,Public expenditure on education (% of GDP),4.6
288,Ghana,2018,Basic access to computers by level of education: Primary,3.5
288,Ghana,2018,Basic access to computers by level of education: Lower secondary,13
288,Ghana,2018,Basic access to computers by level of education: Upper secondary,35
288,Ghana,2018,Public expenditure on education (% of GDP),4
292,Gibraltar,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),42.3
292,Gibraltar,2017,All staff compensation as % of total expenditure in public institutions (%),54.2
292,Gibraltar,2017,Capital expenditure as % of total expenditure in public institutions (%),3.5
292,Gibraltar,2017,Basic access to computers by level of education: Primary,100
292,Gibraltar,2017,Basic access to computers by level of education: Lower secondary,100
292,Gibraltar,2017,Basic access to computers by level of education: Upper secondary,100
292,Gibraltar,2020,Basic access to computers by level of education: Primary,100
292,Gibraltar,2020,Basic access to computers by level of education: Lower secondary,100
292,Gibraltar,2020,Basic access to computers by level of education: Upper secondary,100
300,Greece,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11
300,Greece,2005,All staff compensation as % of total expenditure in public institutions (%),67.3
300,Greece,2005,Capital expenditure as % of total expenditure in public institutions (%),21.7
300,Greece,2005,Public expenditure on education (% of GDP),4
300,Greece,2015,Public expenditure on education (% of GDP),3.7
300,Greece,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.1
300,Greece,2018,All staff compensation as % of total expenditure in public institutions (%),81
300,Greece,2018,Capital expenditure as % of total expenditure in public institutions (%),11.8
300,Greece,2018,Public expenditure on education (% of GDP),3.6
304,Greenland,2015,Public expenditure on education (% of GDP),12
304,Greenland,2018,Public expenditure on education (% of GDP),10.6
308,Grenada,2003,Public expenditure on education (% of GDP),3.9
308,Grenada,2010,Basic access to computers by level of education: Lower secondary,100
308,Grenada,2010,Basic access to computers by level of education: Upper secondary,100
308,Grenada,2015,Public expenditure on education (% of GDP),4.2
308,Grenada,2018,Basic access to computers by level of education: Primary,72.2
308,Grenada,2018,Basic access to computers by level of education: Lower secondary,100
308,Grenada,2018,Basic access to computers by level of education: Upper secondary,100
308,Grenada,2018,Public expenditure on education (% of GDP),3.6
308,Grenada,2020,Basic access to computers by level of education: Lower secondary,100
308,Grenada,2020,Basic access to computers by level of education: Upper secondary,100
320,Guatemala,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9
320,Guatemala,2008,All staff compensation as % of total expenditure in public institutions (%),65.2
320,Guatemala,2008,Capital expenditure as % of total expenditure in public institutions (%),11.5
320,Guatemala,2008,Public expenditure on education (% of GDP),3.2
320,Guatemala,2010,Capital expenditure as % of total expenditure in public institutions (%),0.1
320,Guatemala,2010,Public expenditure on education (% of GDP),2.8
320,Guatemala,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
320,Guatemala,2015,All staff compensation as % of total expenditure in public institutions (%),75.3
320,Guatemala,2015,Capital expenditure as % of total expenditure in public institutions (%),3.8
320,Guatemala,2015,Public expenditure on education (% of GDP),3
320,Guatemala,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25
320,Guatemala,2016,All staff compensation as % of total expenditure in public institutions (%),72.4
320,Guatemala,2016,Capital expenditure as % of total expenditure in public institutions (%),2.6
320,Guatemala,2016,Basic access to computers by level of education: Primary,12.5
320,Guatemala,2016,Basic access to computers by level of education: Lower secondary,44
320,Guatemala,2016,Basic access to computers by level of education: Upper secondary,66
320,Guatemala,2016,Public expenditure on education (% of GDP),2.9
320,Guatemala,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.3
320,Guatemala,2020,All staff compensation as % of total expenditure in public institutions (%),68.9
320,Guatemala,2020,Capital expenditure as % of total expenditure in public institutions (%),4.8
320,Guatemala,2020,Public expenditure on education (% of GDP),3.3
324,Guinea,2005,Public expenditure on education (% of GDP),1.8
324,Guinea,2010,Capital expenditure as % of total expenditure in public institutions (%),7.7
324,Guinea,2010,Public expenditure on education (% of GDP),2.6
324,Guinea,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.6
324,Guinea,2015,All staff compensation as % of total expenditure in public institutions (%),75.1
324,Guinea,2015,Capital expenditure as % of total expenditure in public institutions (%),12.3
324,Guinea,2015,Public expenditure on education (% of GDP),2.5
324,Guinea,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.6
324,Guinea,2016,All staff compensation as % of total expenditure in public institutions (%),75.1
324,Guinea,2016,Capital expenditure as % of total expenditure in public institutions (%),12.3
324,Guinea,2016,Basic access to computers by level of education: Primary,0
324,Guinea,2016,Basic access to computers by level of education: Lower secondary,0
324,Guinea,2016,Basic access to computers by level of education: Upper secondary,0
324,Guinea,2016,Public expenditure on education (% of GDP),2.5
324,Guinea,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.3
324,Guinea,2020,All staff compensation as % of total expenditure in public institutions (%),92.3
324,Guinea,2020,Capital expenditure as % of total expenditure in public institutions (%),1.4
324,Guinea,2020,Public expenditure on education (% of GDP),2.2
624,Guinea-Bissau,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.5
624,Guinea-Bissau,2010,All staff compensation as % of total expenditure in public institutions (%),61.5
624,Guinea-Bissau,2010,Capital expenditure as % of total expenditure in public institutions (%),26
624,Guinea-Bissau,2010,Public expenditure on education (% of GDP),1.9
624,Guinea-Bissau,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),0.9
624,Guinea-Bissau,2013,All staff compensation as % of total expenditure in public institutions (%),48.3
624,Guinea-Bissau,2013,Capital expenditure as % of total expenditure in public institutions (%),50.8
624,Guinea-Bissau,2013,Public expenditure on education (% of GDP),2.1
624,Guinea-Bissau,2015,Public expenditure on education (% of GDP),2.3
624,Guinea-Bissau,2019,Public expenditure on education (% of GDP),2.9
328,Guyana,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.1
328,Guyana,2005,All staff compensation as % of total expenditure in public institutions (%),62.3
328,Guyana,2005,Capital expenditure as % of total expenditure in public institutions (%),14.6
328,Guyana,2005,Public expenditure on education (% of GDP),8.1
328,Guyana,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.8
328,Guyana,2010,All staff compensation as % of total expenditure in public institutions (%),68.4
328,Guyana,2010,Capital expenditure as % of total expenditure in public institutions (%),8.7
328,Guyana,2010,Public expenditure on education (% of GDP),2.4
328,Guyana,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.5
328,Guyana,2012,All staff compensation as % of total expenditure in public institutions (%),62.9
328,Guyana,2012,Capital expenditure as % of total expenditure in public institutions (%),14.6
328,Guyana,2012,Public expenditure on education (% of GDP),2.2
328,Guyana,2015,Public expenditure on education (% of GDP),3.9
328,Guyana,2018,Public expenditure on education (% of GDP),4.5
332,Haiti,2015,Public expenditure on education (% of GDP),1.9
332,Haiti,2018,Public expenditure on education (% of GDP),1.7
340,Honduras,2010,Public expenditure on education (% of GDP),6.8
340,Honduras,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.6
340,Honduras,2013,All staff compensation as % of total expenditure in public institutions (%),79.7
340,Honduras,2013,Capital expenditure as % of total expenditure in public institutions (%),4.7
340,Honduras,2013,Public expenditure on education (% of GDP),5.9
340,Honduras,2015,Public expenditure on education (% of GDP),6.4
340,Honduras,2016,Basic access to computers by level of education: Primary,15.7
340,Honduras,2016,Public expenditure on education (% of GDP),5.2
340,Honduras,2019,Public expenditure on education (% of GDP),4.9
348,Hungary,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21
348,Hungary,2005,All staff compensation as % of total expenditure in public institutions (%),71.6
348,Hungary,2005,Capital expenditure as % of total expenditure in public institutions (%),7.4
348,Hungary,2005,Basic access to computers by level of education: Primary,100
348,Hungary,2005,Basic access to computers by level of education: Lower secondary,100
348,Hungary,2005,Basic access to computers by level of education: Upper secondary,100
348,Hungary,2005,Public expenditure on education (% of GDP),5.3
348,Hungary,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.1
348,Hungary,2010,All staff compensation as % of total expenditure in public institutions (%),62.5
348,Hungary,2010,Capital expenditure as % of total expenditure in public institutions (%),10.4
348,Hungary,2010,Basic access to computers by level of education: Primary,100
348,Hungary,2010,Basic access to computers by level of education: Lower secondary,100
348,Hungary,2010,Basic access to computers by level of education: Upper secondary,100
348,Hungary,2010,Public expenditure on education (% of GDP),4.7
348,Hungary,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.3
348,Hungary,2015,All staff compensation as % of total expenditure in public institutions (%),67.4
348,Hungary,2015,Capital expenditure as % of total expenditure in public institutions (%),6.3
348,Hungary,2015,Basic access to computers by level of education: Primary,100
348,Hungary,2015,Basic access to computers by level of education: Lower secondary,100
348,Hungary,2015,Basic access to computers by level of education: Upper secondary,100
348,Hungary,2015,Public expenditure on education (% of GDP),4.5
348,Hungary,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.1
348,Hungary,2016,All staff compensation as % of total expenditure in public institutions (%),70.5
348,Hungary,2016,Capital expenditure as % of total expenditure in public institutions (%),7.4
348,Hungary,2016,Basic access to computers by level of education: Primary,100
348,Hungary,2016,Basic access to computers by level of education: Lower secondary,100
348,Hungary,2016,Basic access to computers by level of education: Upper secondary,100
348,Hungary,2016,Public expenditure on education (% of GDP),4.6
348,Hungary,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22
348,Hungary,2018,All staff compensation as % of total expenditure in public institutions (%),64.5
348,Hungary,2018,Capital expenditure as % of total expenditure in public institutions (%),13.5
348,Hungary,2018,Public expenditure on education (% of GDP),4.6
352,Iceland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.6
352,Iceland,2005,All staff compensation as % of total expenditure in public institutions (%),67.9
352,Iceland,2005,Capital expenditure as % of total expenditure in public institutions (%),8.5
352,Iceland,2005,Public expenditure on education (% of GDP),7.3
352,Iceland,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.8
352,Iceland,2010,All staff compensation as % of total expenditure in public institutions (%),72.6
352,Iceland,2010,Capital expenditure as % of total expenditure in public institutions (%),6.6
352,Iceland,2010,Public expenditure on education (% of GDP),6.9
352,Iceland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.7
352,Iceland,2015,All staff compensation as % of total expenditure in public institutions (%),64.8
352,Iceland,2015,Capital expenditure as % of total expenditure in public institutions (%),5.5
352,Iceland,2015,Public expenditure on education (% of GDP),7.5
352,Iceland,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.3
352,Iceland,2018,All staff compensation as % of total expenditure in public institutions (%),65.6
352,Iceland,2018,Capital expenditure as % of total expenditure in public institutions (%),6.1
352,Iceland,2018,Public expenditure on education (% of GDP),7.6
356,India,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9
